ticker,종목명
005930,삼성전자
000660,SK하이닉스
402340,SK스퀘어
005380,현대차
373220,LG에너지솔루션
207940,삼성바이오로직스
000270,기아
329180,HD현대중공업
034020,두산에너빌리티
012450,한화에어로스페이스
009150,삼성전기
032830,삼성생명
051910,LG화학
005490,POSCO홀딩스
006400,삼성SDI
086790,하나금융지주
105560,KB금융
055550,신한지주
017670,SK텔레콤
035420,NAVER
000810,삼성화재
032640,LG유플러스
003550,LG
051900,LG생활건강
011790,SKC
096770,SK이노베이션
361610,SK아이이테크놀로지
302440,SK바이오사이언스
326030,SK바이오팜
010950,S-Oil
267250,HD현대
267260,HD현대일렉트릭
009540,HD한국조선해양
443060,HD현대마린솔루션
071970,HD현대마린엔진
138930,BNK금융지주
175330,JB금융지주
139130,iM금융지주
024110,기업은행
282330,BGF리테일
078930,GS
006360,GS건설
007070,GS리테일
010130,고려아연
011170,롯데케미칼
004000,롯데정밀화학
280360,롯데웰푸드
023530,롯데쇼핑
004990,롯데지주
005300,롯데칠성
138040,메리츠금융지주
006800,미래에셋증권
030200,KT
033780,KT&G
035250,강원랜드
000210,DL
375500,DL이앤씨
006280,녹십자
005250,녹십자홀딩스
068270,셀트리온
090430,아모레퍼시픽
002790,아모레퍼시픽그룹
278470,에이피알
011780,금호석유화학
073240,금호타이어
000150,두산
454910,두산로보틱스
241560,두산밥캣
018260,삼성SDS
028260,삼성물산
016360,삼성증권
010140,삼성중공업
029780,삼성카드
003230,삼양식품
004490,세방전지
000880,한화
012330,현대모비스
329010,현대케피코
017800,현대엘리베이
005940,NH투자증권
006260,LS
010120,LS일렉트릭
383220,F&F
114090,GKL
007340,DN오토모티브
097950,CJ제일제당
000120,CJ대한통운
001040,CJ
047040,대우건설
003090,대웅
069620,대웅제약
001440,대한전선
006650,대한유화
003490,대한항공
192080,더블유게임즈
026960,동서
006040,동원산업
014820,동원시스템즈
079550,LIG넥스원
011070,LG이노텍
066570,LG전자
064400,LG씨엔에스
034220,LG디스플레이
069260,TKG휴켐스
010060,OCI홀딩스
285130,SK케미칼
028050,삼성E&A
081660,미스토홀딩스
002840,미원상사
268280,미원에스씨
062040,산일전기
018880,한온시스템
042700,한미반도체
128940,한미약품
009420,한올바이오파마
300720,한일시멘트
180640,한진칼
161390,한국타이어앤테크놀로지
000240,한국앤컴퍼니
014680,한솔케미칼
009240,한샘
082740,한화엔진
088350,한화생명
000880,한화
